Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
330033,"CHENANGO MEMORIAL HOSPITAL, INC",179 NORTH BROAD STREET,NULL,NULL,NORWICH,NY,13815,CHENANGO,6073354111,16.6,No Different than U.S. National Rate,12.9,20.9,   90,,11.7,No Different than U.S. National Rate,8.8,15.3,  172,,14.1,No Different than U.S. National Rate,10.8,18.4,  181,,21.6,No Different than U.S. National Rate,18.2,25.8,   68,,25.4,No Different than U.S. National Rate,21.4,29.9,  178,,18.4,No Different than U.S. National Rate,15.0,22.6,  170,
330037,LAKESIDE MEMORIAL HOSPITAL,156 WEST AVENUE,NULL,NULL,BROCKPORT,NY,14420,MONROE,5856373131,17.2,No Different than U.S. National Rate,13.2,22.0,   49,,12.1,No Different than U.S. National Rate,8.9,16.2,  115,,12.2,No Different than U.S. National Rate,9.0,16.3,  153,,19.9,No Different than U.S. National Rate,16.2,23.9,   34,,27.3,No Different than U.S. National Rate,22.8,32.8,  127,,17.1,No Different than U.S. National Rate,13.7,21.2,  153,
330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,NULL,NULL,BAY SHORE,NY,11706,SUFFOLK,6319683000,17.1,No Different than U.S. National Rate,14.1,20.4,  261,,10.1,No Different than U.S. National Rate,8.2,12.5,  504,,13.0,No Different than U.S. National Rate,10.6,16.1,  411,,21.1,No Different than U.S. National Rate,17.7,24.7,  192,,24.2,No Different than U.S. National Rate,21.5,27.1,  578,,19.1,No Different than U.S. National Rate,16.1,22.1,  402,
330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,NULL,NULL,UTICA,NY,13503,ONEIDA,3157986000,17.7,No Different than U.S. National Rate,14.8,20.9,  269,,12.1,No Different than U.S. National Rate,10.3,14.1,  721,, 8.8,Better than U.S. National Rate,7.3,10.8,  744,,21.4,No Different than U.S. National Rate,18.2,25.1,  186,,26.2,No Different than U.S. National Rate,23.5,29.1,  760,,22.9,Worse than U.S. National Rate,20.4,25.7,  742,
330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,NULL,NULL,HUNTINGTON,NY,11743,SUFFOLK,6313512000,13.9,No Different than U.S. National Rate,11.3,16.9,  250,,10.6,No Different than U.S. National Rate,9.1,12.3,  826,, 9.6,Better than U.S. National Rate,8.2,11.3,  876,,20.9,No Different than U.S. National Rate,17.7,24.5,  166,,24.0,No Different than U.S. National Rate,21.7,26.5,  954,,17.5,No Different than U.S. National Rate,15.5,19.8,  895,
330046,ST LUKE'S ROOSEVELT HOSPITAL,1111 AMSTERDAM AVENUE,NULL,NULL,NEW YORK,NY,10025,NEW YORK,2125234000,13.7,No Different than U.S. National Rate,11.6,16.3,  434,, 8.5,Better than U.S. National Rate,6.9,10.4,  708,,12.2,No Different than U.S. National Rate,10.3,14.3,  632,,22.7,No Different than U.S. National Rate,19.7,25.9,  390,,31.3,Worse than U.S. National Rate,28.7,34.1,  905,,20.2,No Different than U.S. National Rate,17.6,22.9,  610,
330047,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,NULL,NULL,AMSTERDAM,NY,12010,MONTGOMERY,5188421900,16.7,No Different than U.S. National Rate,13.8,20.0,  214,,11.8,No Different than U.S. National Rate,9.9,14.1,  521,,12.0,No Different than U.S. National Rate,9.7,14.8,  315,,18.6,No Different than U.S. National Rate,15.8,21.9,  165,,24.4,No Different than U.S. National Rate,21.7,27.5,  571,,20.2,No Different than U.S. National Rate,17.3,23.6,  315,
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,NULL,NULL,RHINEBECK,NY,12572,DUTCHESS,8458713391,18.4,No Different than U.S. National Rate,14.2,23.7,   77,,12.2,No Different than U.S. National Rate,9.2,16.2,  121,,11.4,No Different than U.S. National Rate,7.9,15.8,  105,,19.6,No Different than U.S. National Rate,15.9,24.0,   47,,24.1,No Different than U.S. National Rate,19.9,28.8,  130,,17.6,No Different than U.S. National Rate,14.0,21.9,  108,
330053,MEDINA MEMORIAL HOSPITAL,200 OHIO STREET,NULL,NULL,MEDINA,NY,14103,ORLEANS,5857988111,15.3,No Different than U.S. National Rate,11.4,19.9,   69,,13.2,No Different than U.S. National Rate,9.8,17.3,  128,,11.7,No Different than U.S. National Rate,8.6,16.3,  116,,20.2,No Different than U.S. National Rate,16.4,24.6,   46,,23.5,No Different than U.S. National Rate,19.2,28.3,  128,,18.0,No Different than U.S. National Rate,14.4,22.3,  114,
330055,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,56-45 MAIN STREET,NULL,NULL,FLUSHING,NY,11355,QUEENS,7186701231,15.4,No Different than U.S. National Rate,13.0,18.2,  434,,10.1,No Different than U.S. National Rate,8.8,11.7, 1042,,13.0,No Different than U.S. National Rate,11.5,14.7,  932,,22.0,No Different than U.S. National Rate,19.0,25.1,  390,,27.3,Worse than U.S. National Rate,25.1,29.7, 1205,,21.2,Worse than U.S. National Rate,19.1,23.5,  865,
330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,121 DEKALB AVENUE,NULL,NULL,BROOKLYN,NY,11201,KINGS,7182508000,20.3,Worse than U.S. National Rate,16.7,24.6,  121,, 9.0,No Different than U.S. National Rate,6.9,11.6,  313,,14.1,No Different than U.S. National Rate,11.2,17.5,  248,,22.1,No Different than U.S. National Rate,18.7,26.1,   76,,27.1,No Different than U.S. National Rate,23.8,30.7,  368,,22.5,Worse than U.S. National Rate,19.1,26.4,  238,
330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,NULL,NULL,ALBANY,NY,12208,ALBANY,5185251550,16.2,No Different than U.S. National Rate,14.0,18.9,  580,,11.6,No Different than U.S. National Rate,9.9,13.6,  774,,12.3,No Different than U.S. National Rate,10.6,14.3,  837,,20.6,No Different than U.S. National Rate,18.4,23.0,  783,,24.0,No Different than U.S. National Rate,21.6,26.6,  979,,17.7,No Different than U.S. National Rate,15.5,20.0,  797,
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,NULL,NULL,GENEVA,NY,14456,ONTARIO,3157874175,16.0,No Different than U.S. National Rate,12.2,20.6,   68,,12.9,No Different than U.S. National Rate,9.9,16.3,  206,,11.8,No Different than U.S. National Rate,9.0,15.2,  196,,20.9,No Different than U.S. National Rate,17.1,25.3,   42,,24.1,No Different than U.S. National Rate,20.3,28.2,  226,,17.7,No Different than U.S. National Rate,14.4,21.5,  194,
330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,NULL,NULL,BRONX,NY,10467,BRONX,7189204321,13.8,Better than U.S. National Rate,11.7,16.0,  557,, 8.3,Better than U.S. National Rate,7.1,9.7, 1217,,11.9,No Different than U.S. National Rate,10.3,13.6,  909,,20.8,No Different than U.S. National Rate,18.6,23.4,  707,,29.3,Worse than U.S. National Rate,27.2,31.5, 1556,,23.8,Worse than U.S. National Rate,21.5,26.2,  915,
330061,LAWRENCE HOSPITAL CENTER,55 PALMER AVENUE,NULL,NULL,BRONXVILLE,NY,10708,WESTCHESTER,9147871000,15.3,No Different than U.S. National Rate,12.1,18.7,  152,, 9.6,No Different than U.S. National Rate,7.6,12.1,  389,,13.3,No Different than U.S. National Rate,11.0,16.0,  408,,21.5,No Different than U.S. National Rate,17.6,25.7,   80,,26.4,No Different than U.S. National Rate,23.1,30.0,  431,,20.0,No Different than U.S. National Rate,17.0,23.5,  386,
330064,NEW YORK DOWNTOWN HOSPITAL,170 WILLIAM STREET,NULL,NULL,NEW YORK,NY,10038,NEW YORK,2123125000,16.5,No Different than U.S. National Rate,12.7,21.1,   59,, 9.7,No Different than U.S. National Rate,7.4,12.6,  182,,13.1,No Different than U.S. National Rate,10.8,15.8,  393,,21.9,No Different than U.S. National Rate,18.0,26.3,   28,,28.0,No Different than U.S. National Rate,24.0,32.5,  201,,23.3,Worse than U.S. National Rate,20.1,26.8,  397,
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NULL,NULL,NIAGARA FALLS,NY,14302,NIAGARA,7162784000,15.8,No Different than U.S. National Rate,12.2,20.0,   98,,11.8,No Different than U.S. National Rate,9.2,15.1,  251,,11.0,No Different than U.S. National Rate,8.3,14.8,  149,,19.8,No Different than U.S. National Rate,16.4,23.7,   88,,24.1,No Different than U.S. National Rate,20.7,28.0,  289,,17.9,No Different than U.S. National Rate,14.6,22.0,  143,
330067,ST FRANCIS HOSPITAL,241 NORTH ROAD,NULL,NULL,POUGHKEEPSIE,NY,12601,DUTCHESS,8454835000,15.4,No Different than U.S. National Rate,11.9,19.7,   65,,12.4,No Different than U.S. National Rate,9.3,16.2,  145,,12.0,No Different than U.S. National Rate,9.2,15.5,  210,,22.2,No Different than U.S. National Rate,18.2,27.0,   46,,27.4,No Different than U.S. National Rate,23.2,32.2,  170,,20.7,No Different than U.S. National Rate,16.9,24.7,  203,
330073,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,NULL,NULL,BATAVIA,NY,14020,GENESEE,5853436030,17.5,No Different than U.S. National Rate,13.8,21.6,   58,,14.5,Worse than U.S. National Rate,11.3,18.1,  228,,14.2,No Different than U.S. National Rate,11.2,18.1,  219,,20.0,No Different than U.S. National Rate,16.3,24.3,   27,,27.2,No Different than U.S. National Rate,23.5,31.5,  251,,19.3,No Different than U.S. National Rate,16.0,23.1,  205,
330074,F F THOMPSON HOSPITAL,350 PARRISH STREET,NULL,NULL,CANANDAIGUA,NY,14424,ONTARIO,5853966000,17.8,No Different than U.S. National Rate,13.9,22.4,   66,,13.0,No Different than U.S. National Rate,9.7,17.3,  115,,14.1,No Different than U.S. National Rate,11.3,17.2,  256,,20.9,No Different than U.S. National Rate,17.3,25.3,   52,,24.7,No Different than U.S. National Rate,20.6,29.5,  130,,19.4,No Different than U.S. National Rate,16.2,23.1,  264,
330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,NULL,NULL,BUFFALO,NY,14214,ERIE,7168621000,13.2,No Different than U.S. National Rate,10.0,17.0,  102,,11.4,No Different than U.S. National Rate,8.8,14.6,  278,,11.7,No Different than U.S. National Rate,8.6,15.4,  185,,19.8,No Different than U.S. National Rate,16.2,23.7,   87,,22.8,No Different than U.S. National Rate,19.4,26.7,  311,,18.3,No Different than U.S. National Rate,15.0,22.2,  183,
330079,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,NULL,NULL,SARANAC LAKE,NY,12983,FRANKLIN,5188914141,18.0,No Different than U.S. National Rate,14.0,22.6,   68,,11.4,No Different than U.S. National Rate,8.6,14.9,  122,,10.9,No Different than U.S. National Rate,7.9,14.6,  125,,20.2,No Different than U.S. National Rate,16.6,24.3,   44,,24.8,No Different than U.S. National Rate,20.7,29.6,  133,,18.9,No Different than U.S. National Rate,15.2,23.1,  124,
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,NULL,NULL,BRONX,NY,10451,BRONX,7185795000,16.2,No Different than U.S. National Rate,12.6,20.5,   99,,10.1,No Different than U.S. National Rate,7.4,13.3,  180,,15.3,No Different than U.S. National Rate,11.6,20.0,  116,,19.9,No Different than U.S. National Rate,16.2,24.3,   54,,32.0,Worse than U.S. National Rate,28.0,36.2,  267,,20.2,No Different than U.S. National Rate,16.3,24.9,  112,
330084,ALICE HYDE MEDICAL CENTER,133 PARK STREET,NULL,NULL,MALONE,NY,12953,FRANKLIN,5184833000,14.6,No Different than U.S. National Rate,10.9,19.2,   45,,12.8,No Different than U.S. National Rate,9.2,17.1,  116,,12.4,No Different than U.S. National Rate,9.4,16.1,  174,,NULL,Number of Cases Too Small,NULL,NULL,   17,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.0,No Different than U.S. National Rate,20.8,29.8,  107,,17.9,No Different than U.S. National Rate,14.7,21.7,  186,
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,NULL,NULL,ONEONTA,NY,13820,OTSEGO,6074232000,15.3,No Different than U.S. National Rate,11.9,19.4,  111,,10.5,No Different than U.S. National Rate,8.1,13.3,  308,, 8.5,Better than U.S. National Rate,6.4,11.0,  307,,20.1,No Different than U.S. National Rate,16.4,24.1,   76,,27.4,No Different than U.S. National Rate,24.0,31.2,  365,,17.7,No Different than U.S. National Rate,14.9,21.0,  325,
330086,MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,NULL,NULL,MOUNT VERNON,NY,10550,WESTCHESTER,9146648000,13.6,No Different than U.S. National Rate,10.3,17.6,   73,,11.9,No Different than U.S. National Rate,9.1,15.6,  191,,10.1,No Different than U.S. National Rate,7.1,13.9,  108,,20.8,No Different than U.S. National Rate,17.1,25.3,   50,,27.0,No Different than U.S. National Rate,22.7,31.5,  208,,20.1,No Different than U.S. National Rate,16.3,24.5,  102,
330088,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,NULL,NULL,GREENPORT,NY,11944,SUFFOLK,6314771000,16.0,No Different than U.S. National Rate,12.3,20.5,   57,,11.1,No Different than U.S. National Rate,8.5,14.5,  170,,10.7,No Different than U.S. National Rate,7.7,14.6,  135,,20.6,No Different than U.S. National Rate,16.7,25.2,   36,,24.1,No Different than U.S. National Rate,20.1,28.7,  181,,16.1,No Different than U.S. National Rate,12.9,19.7,  134,
330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,NULL,NULL,ELMIRA,NY,14905,CHEMUNG,6077374100,15.7,No Different than U.S. National Rate,12.9,19.0,  323,,12.8,No Different than U.S. National Rate,10.5,15.6,  441,,10.9,No Different than U.S. National Rate,8.9,13.0,  576,,20.4,No Different than U.S. National Rate,17.6,23.8,  345,,25.6,No Different than U.S. National Rate,22.6,28.8,  486,,19.9,No Different than U.S. National Rate,17.5,22.6,  593,
330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,NULL,NULL,HUDSON,NY,12534,COLUMBIA,5188287601,17.2,No Different than U.S. National Rate,14.2,20.8,  188,,11.9,No Different than U.S. National Rate,9.5,14.5,  426,,12.0,No Different than U.S. National Rate,9.6,14.7,  350,,20.6,No Different than U.S. National Rate,17.2,24.5,  125,,23.3,No Different than U.S. National Rate,20.3,26.5,  477,,17.6,No Different than U.S. National Rate,14.9,20.5,  365,
330096,JONES MEMORIAL HOSPITAL,191 NORTH MAIN STREET,NULL,NULL,WELLSVILLE,NY,14895,ALLEGANY,5855931100,15.6,No Different than U.S. National Rate,12.0,20.1,   54,,10.0,No Different than U.S. National Rate,7.5,13.0,  173,,10.2,No Different than U.S. National Rate,7.4,13.6,  155,,19.7,No Different than U.S. National Rate,16.0,24.0,   38,,22.5,No Different than U.S. National Rate,19.0,26.8,  208,,17.8,No Different than U.S. National Rate,14.4,21.8,  154,
330100,NY EYE AND EAR INFIRMARY,310 EAST 14TH STREET,NULL,NULL,NEW YORK,NY,10003,NEW YORK,2129794000,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NULL,NULL,NEW YORK,NY,10021,NEW YORK,2127464189,11.1,Better than U.S. National Rate,9.6,12.8, 1009,, 7.4,Better than U.S. National Rate,6.5,8.5, 1880,, 8.4,Better than U.S. National Rate,7.3,9.7, 1447,,21.4,No Different than U.S. National Rate,19.7,23.3, 1597,,26.7,Worse than U.S. National Rate,25.1,28.3, 2547,,18.7,No Different than U.S. National Rate,16.9,20.6, 1465,
330102,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVENUE,NULL,NULL,KENMORE,NY,14217,ERIE,7164476100,16.4,No Different than U.S. National Rate,13.1,20.0,  131,,14.0,Worse than U.S. National Rate,11.5,16.7,  367,,11.7,No Different than U.S. National Rate,8.8,15.2,  175,,21.8,No Different than U.S. National Rate,18.2,25.8,   98,,22.5,No Different than U.S. National Rate,19.5,25.8,  430,,19.2,No Different than U.S. National Rate,15.7,23.4,  176,
330103,OLEAN GENERAL HOSPITAL,515 MAIN STREET,NULL,NULL,OLEAN,NY,14760,CATTARAUGUS,7163732600,14.7,No Different than U.S. National Rate,12.0,17.6,  199,,10.4,No Different than U.S. National Rate,8.5,13.0,  447,,10.8,No Different than U.S. National Rate,8.7,13.4,  389,,19.6,No Different than U.S. National Rate,16.6,23.2,  137,,26.3,No Different than U.S. National Rate,23.2,29.6,  473,,19.7,No Different than U.S. National Rate,16.9,22.8,  405,
330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NULL,NULL,NYACK,NY,10960,ROCKLAND,8453482000,16.7,No Different than U.S. National Rate,13.8,20.0,  177,,10.6,No Different than U.S. National Rate,8.7,12.9,  477,, 9.6,No Different than U.S. National Rate,7.8,11.7,  613,,20.3,No Different than U.S. National Rate,17.1,23.9,  113,,26.7,No Different than U.S. National Rate,23.7,29.8,  534,,18.8,No Different than U.S. National Rate,16.6,21.4,  647,
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,NULL,NULL,MANHASSET,NY,11030,NASSAU,5165620100,14.4,No Different than U.S. National Rate,12.2,16.8,  643,,12.1,No Different than U.S. National Rate,10.6,13.8, 1223,,11.4,No Different than U.S. National Rate,10.1,12.9, 1415,,23.0,Worse than U.S. National Rate,20.7,25.3, 1033,,27.0,Worse than U.S. National Rate,24.9,29.1, 1514,,19.5,No Different than U.S. National Rate,17.7,21.4, 1389,
330107,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,NULL,NULL,RIVERHEAD,NY,11901,SUFFOLK,6315486000,15.4,No Different than U.S. National Rate,12.3,18.9,  181,,10.4,No Different than U.S. National Rate,8.2,13.1,  324,,10.9,No Different than U.S. National Rate,8.5,13.8,  302,,19.1,No Different than U.S. National Rate,15.7,22.6,  105,,24.0,No Different than U.S. National Rate,20.8,27.4,  354,,17.6,No Different than U.S. National Rate,14.7,20.8,  299,
330108,"ST JOSEPH'S HOSPITAL, INC",555 EAST MARKET STREET,NULL,NULL,ELMIRA,NY,14902,CHEMUNG,6077336541,14.3,No Different than U.S. National Rate,11.1,18.2,   81,,10.6,No Different than U.S. National Rate,8.1,14.1,  181,,10.9,No Different than U.S. National Rate,8.7,13.8,  372,,18.8,No Different than U.S. National Rate,15.6,22.5,   74,,22.9,No Different than U.S. National Rate,19.5,27.1,  187,,21.0,No Different than U.S. National Rate,18.1,24.4,  388,
330111,BERTRAND CHAFFEE HOSPITAL,224 EAST MAIN STREET,NULL,NULL,SPRINGVILLE,NY,14141,ERIE,7165922871,NULL,Number of Cases Too Small,NULL,NULL,   19,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.0,No Different than U.S. National Rate,7.1,14.0,   66,,13.0,No Different than U.S. National Rate,9.9,17.1,  177,,NULL,Number of Cases Too Small,NULL,NULL,   12,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.7,No Different than U.S. National Rate,20.3,29.7,   75,,19.5,No Different than U.S. National Rate,16.1,23.7,  174,
330115,ONEIDA HEALTHCARE CENTER,321 GENESEE STREET,NULL,NULL,ONEIDA,NY,13421,MADISON,3153636000,16.2,No Different than U.S. National Rate,11.8,21.4,   28,,16.4,Worse than U.S. National Rate,12.3,21.6,  116,,15.5,Worse than U.S. National Rate,11.9,20.1,  212,,NULL,Number of Cases Too Small,NULL,NULL,    9,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.7,No Different than U.S. National Rate,21.2,30.9,  101,,18.7,No Different than U.S. National Rate,15.3,22.6,  208,
330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NULL,NULL,NEW YORK,NY,10021,NEW YORK,2124392345,11.8,Better than U.S. National Rate,9.5,14.5,  316,, 8.6,Better than U.S. National Rate,7.0,10.6,  585,, 9.8,No Different than U.S. National Rate,8.0,11.9,  590,,20.8,No Different than U.S. National Rate,18.2,23.6,  498,,27.6,Worse than U.S. National Rate,25.0,30.6,  715,,19.7,No Different than U.S. National Rate,17.2,22.4,  585,
330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,NULL,NULL,ROCHESTER,NY,14621,MONROE,5859224000,12.9,Better than U.S. National Rate,10.7,15.6,  457,,10.6,No Different than U.S. National Rate,8.8,12.6,  751,,10.2,No Different than U.S. National Rate,8.2,12.5,  447,,22.5,Worse than U.S. National Rate,20.1,25.2,  646,,25.7,No Different than U.S. National Rate,23.3,28.3,  974,,20.8,No Different than U.S. National Rate,18.0,23.8,  468,
330126,ORANGE REGIONAL MEDICAL CENTER,4 HARRIMAN DRIVE,NULL,NULL,GOSHEN,NY,10924,ORANGE,8453432424,13.8,No Different than U.S. National Rate,11.4,16.7,  344,, 9.1,Better than U.S. National Rate,7.6,10.9,  786,,10.1,No Different than U.S. National Rate,8.6,11.9,  872,,20.6,No Different than U.S. National Rate,17.3,24.0,  178,,26.7,No Different than U.S. National Rate,24.2,29.2,  864,,22.1,Worse than U.S. National Rate,19.8,24.5,  874,
330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,NULL,NULL,BRONX,NY,10461,BRONX,7189185000,14.1,No Different than U.S. National Rate,11.2,17.5,  148,, 9.1,No Different than U.S. National Rate,6.6,12.6,  138,,10.6,No Different than U.S. National Rate,7.6,14.7,  111,,26.1,Worse than U.S. National Rate,22.3,30.3,  123,,27.2,No Different than U.S. National Rate,23.0,31.8,  180,,20.7,No Different than U.S. National Rate,16.7,25.2,  114,
330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,NULL,NULL,ELMHURST,NY,11373,QUEENS,7183341141,15.8,No Different than U.S. National Rate,12.1,20.0,  102,,13.5,No Different than U.S. National Rate,10.2,17.5,  176,,15.3,Worse than U.S. National Rate,12.1,18.9,  237,,20.9,No Different than U.S. National Rate,16.9,25.6,   77,,29.0,No Different than U.S. National Rate,24.5,33.8,  192,,24.4,Worse than U.S. National Rate,20.4,28.6,  228,
330132,TLC HEALTH NETWORK,100 MEMORIAL DRIVE,NULL,NULL,GOWANDA,NY,14070,CATTARAUGUS,7165323377,19.8,No Different than U.S. National Rate,15.2,25.2,   50,,14.8,No Different than U.S. National Rate,11.2,19.5,  118,,15.3,Worse than U.S. National Rate,11.9,19.5,  150,,19.3,No Different than U.S. National Rate,15.6,23.6,   39,,26.9,No Different than U.S. National Rate,22.4,32.0,  112,,19.3,No Different than U.S. National Rate,15.8,23.5,  144,
330135,BON SECOURS COMMUNITY HOSPITAL,160 EAST MAIN STREET,NULL,NULL,PORT JERVIS,NY,12771,ORANGE,8458565351,15.1,No Different than U.S. National Rate,11.7,19.3,   81,,11.5,No Different than U.S. National Rate,8.9,14.8,  216,,11.8,No Different than U.S. National Rate,9.1,15.3,  207,,20.0,No Different than U.S. National Rate,16.7,23.8,   49,,25.0,No Different than U.S. National Rate,21.6,28.9,  245,,20.0,No Different than U.S. National Rate,16.7,23.9,  201,
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,NULL,NULL,COOPERSTOWN,NY,13326,OTSEGO,6075473456,16.8,No Different than U.S. National Rate,13.7,20.5,  244,,11.3,No Different than U.S. National Rate,8.9,14.1,  340,,12.1,No Different than U.S. National Rate,9.5,15.4,  264,,19.4,No Different than U.S. National Rate,16.4,22.6,  267,,24.8,No Different than U.S. National Rate,21.7,28.0,  435,,20.1,No Different than U.S. National Rate,17.2,23.6,  301,
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,NULL,NULL,SYRACUSE,NY,13203,ONONDAGA,3154485111,14.2,No Different than U.S. National Rate,12.2,16.6,  679,,11.3,No Different than U.S. National Rate,9.7,13.0, 1096,,10.4,No Different than U.S. National Rate,9.0,11.9, 1231,,21.6,No Different than U.S. National Rate,19.6,23.8, 1051,,23.5,No Different than U.S. National Rate,21.5,25.6, 1326,,20.2,No Different than U.S. National Rate,18.3,22.1, 1281,
330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,101 HOSPITAL ROAD,NULL,NULL,PATCHOGUE,NY,11772,SUFFOLK,6316547100,15.4,No Different than U.S. National Rate,13.0,18.0,  394,,11.4,No Different than U.S. National Rate,9.7,13.4,  733,,11.5,No Different than U.S. National Rate,9.8,13.4,  847,,21.9,No Different than U.S. National Rate,19.0,25.0,  238,,27.1,No Different than U.S. National Rate,24.7,29.7,  813,,21.4,Worse than U.S. National Rate,19.3,23.8,  838,
